"# repeats per cell: 2000 for |T|=11, 300 for |T|=13, 100 for |T|=15; every question answered `No' independently with probability p"
strategy,strategy_code,|T|,p,1-p,minedKeys_min,minedKeys_max,minedKeys_avg,minedKeySize_min,minedKeySize_max,minedKeySize_avg,minKeys_min,minKeys_max,minKeys_avg,minKeySize_min,minKeySize_max,minKeySize_avg,keyQuestions_min,keyQuestions_max,keyQuestions_avg,questions_min,questions_max,questions_avg,keyRatio_min,keyRatio_max,keyRatio_avg,rounds_min,rounds_max,rounds_avg,ms_min,ms_max,ms_avg
LW-BB,bottomup bfs,11,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2048,2048,2048.0,0.0,0.0,0.0,12,12,12.0,221,797,263.3605
LW-BB,bottomup bfs,11,0.1,0.9,1,55,21.533,0,221,68.8015,1,55,21.533,0,221,68.8015,1,55,21.533,1,609,214.397,0.051094890510948905,1.0,0.2005,1,8,5.7075,0,30,4.9895
LW-BB,bottomup bfs,11,0.2,0.8,1,50,16.6995,0,174,43.1015,1,50,16.6995,0,174,43.1015,1,50,16.6995,1,310,83.3265,0.11688311688311688,1.0,0.385,1,6,4.298,0,15,0.9115
LW-BB,bottomup bfs,11,0.3,0.7,1,46,12.988,0,141,28.168,1,46,12.988,0,141,28.168,1,46,12.988,1,204,43.3485,0.17346938775510204,1.0,0.5131,1,6,3.5505,0,15,0.313
LW-BB,bottomup bfs,11,0.4,0.6,1,41,9.54,0,104,17.558,1,41,9.54,0,104,17.558,1,41,9.54,1,109,23.791,0.21818181818181817,1.0,0.6525,1,6,2.812,0,10,0.119
LW-BB,bottomup bfs,11,0.5,0.5,1,36,7.602,0,83,12.097,1,36,7.602,0,83,12.097,1,36,7.602,1,88,15.286,0.28,1.0,0.7434,1,5,2.3865,0,10,0.0615
LW-BB,bottomup bfs,11,0.6,0.4,1,29,5.4025,0,61,7.1765,1,29,5.4025,0,61,7.1765,1,29,5.4025,1,60,9.024,0.3235294117647059,1.0,0.8416,1,5,1.9015,0,9,0.0255
LW-BB,bottomup bfs,11,0.7,0.30000000000000004,1,24,3.8405,0,46,4.1645,1,24,3.8405,0,46,4.1645,1,24,3.8405,1,43,5.444,0.4,1.0,0.9134,1,4,1.532,0,10,0.011
LW-BB,bottomup bfs,11,0.8,0.20000000000000007,1,18,2.933,0,31,2.498,1,18,2.933,0,31,2.498,1,18,2.933,1,27,3.68,0.5,1.0,0.9501,1,4,1.343,0,1,0.006
LW-BB,bottomup bfs,11,0.9,0.10000000000000009,1,15,2.046,0,24,1.215,1,15,2.046,0,24,1.215,1,15,2.046,1,22,2.283,0.6666666666666666,1.0,0.9816,1,3,1.144,0,1,0.0025
